ID,Name,Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
12729187,2021 BMW M8 Competition Gran Coupe F93,278800,BMW,M8,Competition Gran Coupe,F93,2021,11391,Coupe,Automatic,Premium Unleaded Petrol, Used,4395,Blue,4
12729675,2019 Mercedes-Benz S350 D W/V222 MY20,123888,Mercedes-Benz,S350,D,W/V222 MY20,2019,36700,Saloon,Automatic,Diesel, Used,2925,Silver,5
12730196,2021 Mercedes-Benz GT C C190 MY21.5,329999,Mercedes-Benz,GT,C,C190 MY21.5,2021,4400,Coupe,Automatic,Premium Unleaded Petrol, Used,3982,Selenite,2
12730257,2020 Toyota Landcruiser GXL (4X4) VDJ79R,140000,Toyota,Landcruiser,GXL (4X4),VDJ79R,2020,29200,Double Cab Chassis,Manual,Diesel, Used,4461,Cream,5
12730781,2019 Land Rover Discovery SD4 HSE (177KW) L462 MY20,107080,Land Rover,Discovery,SD4 HSE (177KW),L462 MY20,2019,34250,Wagon,Automatic,Diesel, Used,1999,White,5
12731143,2020 Mercedes-Benz GLB35 4Matic X247 MY20.5,94900,Mercedes-Benz,GLB35,4Matic,X247 MY20.5,2020,10695,Wagon,Automatic,Premium Unleaded Petrol, Used,1991,White,7
12731389,2021 Toyota Landcruiser 70 Series GXL Troop Carrier VDJ78R,112888,Toyota,Landcruiser 70 Series,GXL Troop Carrier,VDJ78R,2021,3421,Wagon,Manual,Diesel, Used,4461,White,5
12731654,2022 Audi RS 3 2.5 Tfsi S Tronic 8Y MY22,124770,Audi,RS 3,2.5 Tfsi S Tronic,8Y MY22,2022,2911,Sedan,Automatic,Premium Unleaded Petrol, Used,2480,White,5
12731941,2016 Land Rover Range Rover Vogue SE SDV8 LG MY16,126800,Land Rover,Range Rover,Vogue SE SDV8,LG MY16,2016,42502,Wagon,Automatic,Diesel, Used,4367,Black,5
12732156,2022 Volkswagen Amarok TDI580 W580X 4Motion 2H MY22,96990,Volkswagen,Amarok,TDI580 W580X 4Motion,2H MY22,2022,14,Dual Cab Utility,Automatic,Diesel, New In Stock,2967,Grey,5
12732157,2022 Volkswagen Amarok TDI580 W580X 4Motion 2H MY22,104990,Volkswagen,Amarok,TDI580 W580X 4Motion,2H MY22,2022,12,Dual Cab Utility,Automatic,Diesel, New In Stock,2967,Grey,5
12732391,2018 Toyota Landcruiser GXL (4X4) VDJ79R,102987,Toyota,Landcruiser,GXL (4X4),VDJ79R,2018,59679,Cab Chassis,Manual,Diesel, Used,4461,Grey,2
12732433,2020 Mercedes-Benz GLE300 D 4Matic V167 MY19,129800,Mercedes-Benz,GLE300,D 4Matic,V167 MY19,2020,16078,Wagon,Automatic,Diesel, Used,1950,White,5
12732948,2017 Lexus LC500H V6 GWZ100R,129900,Lexus,LC500H,V6,GWZ100R,2017,41929,Coupe,Automatic,Premium Unleaded/Electric, Used,3456,Grey,4
12733935,2022 Volvo XC60 Recharge Phev 256 MY22,111990,Volvo,XC60,Recharge Phev,256 MY22,2022,4455,Wagon,Automatic,Premium Unleaded/Electric, Demo,1969,Black,5
12734101,2018 Toyota Landcruiser GXL (4X4) 5 Seat VDJ78R,98987,Toyota,Landcruiser,GXL (4X4) 5 Seat,VDJ78R,2018,68242,Troop Carrier,Manual,Diesel, Used,4461,White,5
12734319,2022 BMW X5 Xdrive30D G05,149888,BMW,X5,Xdrive30D,G05,2022,8679,Wagon,Automatic,Diesel, Used,2993,Black,5
